,名称,代码
653,The Baldwin Insurance Group Inc,105.BWIN
654,PermRock Royalty Trust,106.PRT
655,Alpha Metallurgical Resources I,106.AMR
656,SCHMID Group NV Wt,105.SHMDW
657,Eterna Therapeutics Inc,105.ERNA
658,Dakota Gold Corp Wt,107.DC_WS
659,Chromocell Therapeutics Corp,107.CHRO
660,BlackRock Capital Allocation Te,106.BCAT
661,Mirion Technologies Inc-A,106.MIR
662,Aditxt Inc,105.ADTX
663,American Well Corp-A,106.AMWL
664,Optex Systems Holdings Inc,105.OPXS
665,BM Technologies Inc,107.BMTX
666,Safe & Green Holdings Corp,105.SGBX
667,Athena Technology Acquisition C,107.ATEK_U
668,Marex Group plc,105.MRX
669,公民保险,106.CIA
670,Avino Silver & Gold Mines Ltd,107.ASM
671,Vivakor Inc,105.VIVK
672,Select Water Solutions Inc-A,106.WTTR
673,盛德财富,105.PWM
674,Gritstone bio Inc,105.GRTS
675,Third Harmonic Bio Inc,105.THRD
676,TAT Technologies Ltd,105.TATT
677,Fennec Pharmaceuticals Inc,105.FENC
678,Comstock Inc,107.LODE
679,Nutrien Ltd,106.NTR
680,Recursion Pharmaceuticals Inc-A,105.RXRX
681,Constellium SE-A,106.CSTM
682,Better Home & Finance Holding C,105.BETR
683,Enviva Inc,106.EVA
684,Rapid7 Inc,105.RPD
685,Safe and Green Development Corp,105.SGD
686,Ionis Pharmaceuticals Inc,105.IONS
687,American Rebel Holdings Inc,105.AREB
688,Shuttle Pharmaceuticals Holding,105.SHPH
689,美国天然气基金,107.UNG
690,ESS Tech Inc,106.GWH
691,SuperCom Ltd,105.SPCB
692,Rocket Companies Inc-A,106.RKT
693,GoHealth Inc-A,105.GOCO
694,阿贝克隆比&费奇,106.ANF
695,泛美白银,106.PAAS
696,Robinhood Markets Inc-A,105.HOOD
697,B. Riley Financial Inc Notes,105.RILYG
698,MakeMyTrip Ltd,105.MMYT
699,应用材料,105.AMAT
700,Hippo Holdings Inc,106.HIPO
701,SilverBox Corp III Wt,106.SBXC_WS
702,E2open Parent Holdings Inc Wt,106.ETWO_WS
703,CSW Industrials Inc,105.CSWI
704,红罗宾汉堡连琐店,105.RRGB
705,三倍做空金融ETF-Direxion,107.FAZ
706,联代科技,105.WTO
707,NICE Ltd ADR,105.NICE
708,FGI Industries Ltd Wt,105.FGIWW
709,Freshworks Inc-A,105.FRSH
710,Nova Ltd,105.NVMI
711,富乐客,106.FL
712,Uranium Royalty Corp,105.UROY
713,Amprius Technologies Inc,106.AMPX
714,Edgewise Therapeutics Inc,105.EWTX
715,BlackRock Innovation and Growth,106.BIGZ
716,Lilium NV Wt,105.LILMW
717,Cipher Mining Inc,105.CIFR
718,绿能宝,105.SPI
719,车车(权证),105.CCGWW
720,Informatica Inc-A,106.INFA
721,TMC the metal company Inc,105.TMC
722,Petco Health and Wellness Co In,105.WOOF
723,Immunic Inc,105.IMUX
724,Elevation Oncology Inc,105.ELEV
725,89bio Inc,105.ETNB
726,霍金斯材料,105.HWKN
727,三倍做多生物技术ETF-Direxion,107.LABU
728,哈莫尼黄金,106.HMY
729,安高盟,105.AGMH
730,Can-Fite BioPharma Ltd ADR,107.CANF
731,SentinelOne Inc-A,106.S
732,CONSOL Energy Inc,106.CEIX
733,Alset Inc,105.AEI
734,Precision BioSciences Inc,105.DTIL
735,迈威尔科技,105.MRVL
736,Telos Corp,105.TLS
737,ARK 21Shares Active On-Chain Bi,107.ARKC
738,Monolithic Power Systems Inc,105.MPWR
739,Xeris制药,105.XERS
740,Vital Farms Inc,105.VITL
741,尚德机构,106.STG
742,Rocket Lab USA Inc-A,105.RKLB
743,Atkore Inc,106.ATKR
744,INmune Bio Inc,105.INMB
745,aTyr Pharma Inc,105.LIFE
746,Cullinan Therapeutics Inc,105.CGEM
747,Archrock Inc,106.AROC
748,Tiziana Life Sciences Ltd,105.TLSA
749,越洋钻探,106.RIG
750,TransCode Therapeutics Inc,105.RNAZ
751,Direxion Technology Bull 3X Sha,107.TECL
752,纳索尔技术,105.NTWK
753,Healthcare Trust Inc Series B P,105.HTIBP
754,Argo Blockchain Plc ADR,105.ARBK
755,VirnetX Holding Corp,106.VHC
756,EverQuote Inc-A,105.EVER
757,Navios Maritime Partners LP,106.NMM
758,Hagerty Inc-A,106.HGTY
759,REV Group Inc,106.REVG
760,Gatos Silver Inc,106.GATO
761,Estrella Immunopharma Inc,105.ESLA
762,悦享控股,105.CHR
763,美国铝业,106.AA
764,Perella Weinberg Partners-A,105.PWP
765,LiqTech International Inc,105.LIQT
766,B&G食品,106.BGS
767,万机仪器,105.MKSI
768,Algoma Steel Group Inc,105.ASTL
769,AMC网络-A,105.AMCX
770,中汽系统,105.CAAS
771,MSP Recovery Inc Wt,105.LIFWZ
772,Greenfire Resources Ltd,106.GFR
773,Ur-能源,107.URG
774,PureCycle Technologies Inc,105.PCT
775,Perfect Moment Ltd,107.PMNT
776,科磊,105.KLAC
777,叮咚买菜,106.DDL
778,科达章鱼集团,105.CODA
779,Super Group (SGHC) Ltd,106.SGHC
780,Lindblad Expeditions Holdings I,105.LIND
781,Phathom Pharmaceuticals Inc,105.PHAT
782,Denali Capital Acquisition Corp,105.DECAW
783,Doximity Inc-A,106.DOCS
784,Eledon Pharmaceuticals Inc,105.ELDN
785,坎伯兰药业,105.CPIX
786,Smith Micro Software Inc,105.SMSI
787,Global Self Storage Inc,105.SELF
788,FormFactor Inc,105.FORM
789,燃力士控股,105.CELH
790,RPC Inc,106.RES
791,拉姆研究,105.LRCX
792,希尔威金属矿业,107.SVM
793,Construction Partners Inc-A,105.ROAD
794,KraneShares Global Carbon Strat,107.KRBN
795,RxSight Inc,105.RXST
796,CSP Inc,105.CSPI
797,罗马绿色金融,105.ROMA
798,Standard Lithium Ltd,107.SLI
799,易电行,105.EZGO
800,数字标识,105.DMRC
801,慧择,105.HUIZ
802,HighPeak Energy Inc,105.HPK
803,孩之宝,105.HAS
804,纳普科安全技术,105.NSSC
805,迪克希,105.DXYN
806,Ring Energy Inc,107.REI
807,布埃纳文图拉开采,106.BVN
808,YieldMaxTM Bitcoin Option Incom,107.YBIT
809,Similarweb Ltd,106.SMWB
810,梯瓦制药,106.TEVA
811,Braskem SA ADR Pfd,106.BAK
812,Amplify Transformational Data S,107.BLOK
813,奈飞,105.NFLX
814,OCA Acquisition Corp Unit Cons ,105.OCAXU
815,Seres Therapeutics Inc,105.MCRB
816,HUB Cyber Security Ltd,105.HUBC
817,Oxford Lane Capital Corp.,105.OXLC
818,Lumos Pharma Inc,105.LUMO
819,新濠博亚娱乐,105.MLCO
820,Pulmatrix Inc,105.PULM
821,Nexxen International Ltd ADR,105.NEXN
822,Meta Materials Inc,105.MMAT
823,日月光半导体,106.ASX
824,Xencor Inc,105.XNCR
825,Gamb,105.GAMB
826,Singular Genomics Systems Inc,105.OMIC
827,南方铜业,106.SCCO
828,AdTheorent Holding Co Inc Wt,105.ADTHW
829,布林克国际,106.EAT
830,VivoPower International PLC,105.VVPR
831,Electromed Inc,107.ELMD
832,Insmed Inc,105.INSM
833,BlackRock ESG Capital Allocatio,106.ECAT
834,Biomea Fusion Inc,105.BMEA
835,超科林半导体,105.UCTT
836,Star Equity Holdings Inc,105.STRR
837,Definitive Healthcare Corp-A,105.DH
838,PROS Holdings Inc,106.PRO
839,OptimizeRx Corp,105.OPRX
840,iSpecimen Inc,105.ISPC
841,Mondee Holdings Inc-A,105.MOND
842,CF实业,106.CF
843,Atlanticus Holdings Corp,105.ATLC
844,Nkarta Inc,105.NKTX
845,VSE Corp,105.VSEC
846,TriSalus Life Sciences Inc,105.TLSI
847,Oramed Pharmaceuticals Inc,105.ORMP
848,Frontier Group Holdings Inc,105.ULCC
849,Kymera Therapeutics Inc,105.KYMR
850,Reliance Global Group Inc Wt-A,105.RELIW
851,HF Foods Group Inc,105.HFFG
852,Earlyworks Co Ltd ADR,105.ELWS
853,BT Brands Inc,105.BTBD
854,迈欧莫,107.MYO
855,MAIA Biotechnology Inc,107.MAIA
856,李氏企业,105.LEE
857,Arbutus Biopharma Corp,105.ABUS
858,REE Automotive Ltd-A,105.REE
859,YieldMax MRNA Option Income Str,107.MRNY
860,Prelude Therapeutics Inc,105.PRLD
861,FAT Brands Inc Wt,105.FATBW
862,United States Antimony Corp,107.UAMY
863,移动财经,105.MFI
864,GAN Ltd,105.GAN
865,BlackRock Science and Technolog,106.BSTZ
866,Mega Matrix Corp,107.MPU
867,RBC Bearings Inc Series A Pfd,106.RBCP
868,PDF Solutions Inc,105.PDFS
869,Shoals Technologies Group Inc-A,105.SHLS
870,Invesco Alerian Galaxy Blockcha,107.BLKC
871,美光科技,105.MU
872,Sprott Junior Copper Miners ETF,105.COPJ
873,Assembly Biosciences Inc,105.ASMB
874,AIM ImmunoTech Inc,107.AIM
875,T-Rex 2X Inverse Tesla Daily Ta,105.TSLZ
876,Notable Labs Ltd,105.NTBL
877,新濠影汇,106.MSC
878,金田,106.GFI
879,Davis Commodities Ltd,105.DTCK
880,Live Nation Entertainment Inc,106.LYV
881,Syros Pharmaceuticals Inc,105.SYRS
882,MicroSectors U.S. Big Oil Index,107.NRGD
883,InMode Ltd,105.INMD
884,VerifyMe Inc,105.VRME
885,喜玛庆国际,105.SGMA
886,Gladstone Land Corp Series B Pf,105.LANDO
887,克瑞拓斯安全防卫,105.KTOS
888,Nuveen Churchill Direct Lending,106.NCDL
889,三倍做空FTSE中国ETF-Direxion,107.YANG
890,AgEagle天线系统,107.UAVS
891,Okeanis Eco Tankers Corp,106.ECO
892,Globus Medical Inc-A,106.GMED
893,Castle Biosciences Inc,105.CSTL
894,GraniteShares 2x Short TSLA Dai,105.TSDD
895,涂鸦智能,106.TUYA
896,The Trade Desk Inc-A,105.TTD
897,ETRACS Bloomberg Commodity Inde,107.DJCB
898,Centogene NV,105.CNTG
899,SoundHound AI Inc Wt,105.SOUNW
900,Kairous Acquisition Corp Ltd Un,105.KACLU
901,MicroSectors FANG & Innovation ,107.BULZ
902,New Fortress Energy Inc-A,105.NFE
903,詹姆斯金融银行,105.BOTJ
904,Iterum Therapeutics plc,105.ITRM
905,山脉资源,106.RRC
906,康特科技,105.CAMT
907,戴蒙德海底钻探,106.DO
908,Tempest Therapeutics Inc,105.TPST
909,SilverBow Resources Inc,106.SBOW
910,Inozyme Pharma Inc,105.INZY
911,RCM Technologies Inc,105.RCMT
912,Ault Alliance Inc Series D Pfd,107.AULT_D
913,Contango ORE Inc,107.CTGO
914,Corcept Therapeutics Inc,105.CORT
915,联华电子,106.UMC
916,Biofrontera Inc,105.BFRI
917,Enanta Pharmaceuticals Inc,105.ENTA
918,Vital Energy Inc,106.VTLE
919,MAX Auto Industry -3x Inverse L,107.CARD
920,华富教育,105.WAFU
921,Wolfspeed Inc,106.WOLF
922,PLBY Group Inc,105.PLBY
923,PureCycle Technologies Inc Wt,105.PCTTW
924,Destiny Tech100 Inc,106.DXYZ
925,Getaround Inc,106.GETR
926,瓦可能源,106.EGY
927,Lucid Diagnostics Inc,105.LUCD
928,CleanCore Solutions Inc-B,107.ZONE
929,Transportadora de Gas del Sur S,106.TGS
930,Sprott Nickel Miners ETF,105.NIKL
931,新园能源,106.NR
932,VS Media Holdings Ltd-A,105.VSME
933,AbCellera Biologics Inc,105.ABCL
934,Intercure Ltd,105.INCR
935,布鲁克菲尔德公共建设(优先股),106.BIP_A
936,大自然林业,105.NWGL
937,Sportradar Group AG-A,105.SRAD
938,第一富金融服务,105.FCFS
939,Socket Mobile Inc,105.SCKT
940,墨西哥电视,106.TV
941,BlackRock Health Sciences Term ,106.BMEZ
942,Open Lending Corp-A,105.LPRO
943,Verra Mobility Corp-A,105.VRRM
944,Janus International Group Inc,106.JBI
945,龙运国际,105.MATH
946,凯登纸业,106.KAI
947,凌云半导体,105.CRUS
948,Aspen Aerogels Inc,106.ASPN
949,哥伦比亚银行,106.CIB
950,网易有道,106.DAO
951,Taseko Mines Ltd,107.TGB
952,CompoSecure Inc Wt,105.CMPOW
953,美国黄金,105.USAU
954,Color Star Technology Co Ltd-A,105.ADD
955,RBC轴承,106.RBC
956,Accolade Inc,105.ACCD
957,Teucrium Sugar Fund ETV,107.CANE
958,心灵鸡汤娱乐,105.CSSE
959,Dakota Gold Corp,107.DC
960,PolyPid Ltd,105.PYPD
961,Summit Midstream Partners LP,106.SMLP
962,Bitwise Funds Trust Bitwise Web,107.BWEB
963,路坦力,105.NTNX
964,Triumph Group Inc,106.TGI
965,钯金ETF-ETFS,107.PALL
966,艾斯欧艾斯,106.SOS
967,阿尔蒂斯美国,106.ATUS
968,AxoGen Inc,105.AXGN
969,CoreCard Corp,106.CCRD
970,Everest Consolidator Acquisitio,106.MNTN_WS
971,萝贝,105.LOBO
972,Rhythm Pharmaceuticals Inc,105.RYTM
973,Vicinity Motor Corp,105.VEV
974,万国数据,105.GDS
975,Astrotech Corp,105.ASTC
976,Blade Air Mobility Inc Wt,105.BLDEW
977,T-Rex 2X Long Microsoft Daily T,107.MSFX
978,皮博迪能源,106.BTU
979,First Horizon Corp Series B Pfd,106.FHN_B
980,Ryerson Holding Corp,106.RYI
981,SPX Technologies Inc,106.SPXC
982,Adverum Biotechnologies Inc,105.ADVM
983,SiTime Corp,105.SITM
984,Catalyst Pharmaceuticals Inc,105.CPRX
985,4D Molecular Therapeutics Inc,105.FDMT
986,Research Frontiers Inc,105.REFR
987,Evolv Technologies Holdings Inc,105.EVLV
988,Sagimet Biosciences Inc-A,105.SGMT
989,英特格,105.ENTG
990,Cemig ADR,106.CIG_C
991,Vertiv Holdings Co-A,106.VRT
992,梅赛尼斯,105.MEOH
993,Endeavour Silver Corp,106.EXK
994,Independence Contract Drilling ,106.ICD
995,FTAI Infrastructure Inc,105.FIP
996,SenesTech Inc,105.SNES
997,Aquestive Therapeutics Inc,105.AQST
998,Zions Bancorp NA Series A Pfd,105.ZIONP
999,Patterson-UTI Energy Inc,105.PTEN
1000,MiMedx Group Inc,105.MDXG
1001,Liberty Media Corp Liberty Live,105.LLYVK
1002,Ideal Power Inc,105.IPWR
1003,Roundhill Bitcoin Covered Call ,107.YBTC
1004,Rambus Inc,105.RMBS
1005,ProFrac Holding Corp-A,105.ACDC
1006,Virco Mfg Corp,105.VIRC
1007,Quipt Home Medical Corp,105.QIPT
1008,Metals Acquisition Ltd,106.MTAL
1009,Couchbase Inc,105.BASE
1010,EyePoint Pharmaceuticals Inc,105.EYPT
1011,Greenwave Technology Solutions ,105.GWAV
1012,Mercury Systems Inc,105.MRCY
1013,Braze Inc-A,105.BRZE
1014,Silk Road Medical Inc,105.SILK
1015,Live Ventures Inc,105.LIVE
1016,Special Opportunities Fund Inc ,106.SPE_C
1017,First Guaranty Bancshares Inc,105.FGBI
1018,Applovin Corp-A,105.APP
1019,诶吉利斯,105.AGYS
1020,Algoma Steel Group Inc Wt,105.ASTLW
1021,德纳维制药,105.DVAX
1022,Tyra Biosciences Inc,105.TYRA
1023,Research Solutions Inc,105.RSSS
1024,MicroSectors FANG Index 3X Leve,107.FNGU
1025,PepGen Inc,105.PEPG
1026,MediaAlpha Inc-A,106.MAX
1027,Cardlytics Inc,105.CDLX
1028,Rafael Holdings Inc-B,106.RFL
1029,NOW Inc,106.DNOW
1030,Omega Therapeutics Inc,105.OMGA
1031,英伟达,105.NVDA
1032,乌龟海岸,105.HEAR
1033,Hamilton Lane Inc-A,105.HLNE
1034,高平电子,105.KOPN
1035,Granite Ridge Resources Inc,106.GRNT
1036,Lumentum Holdings Inc,105.LITE
1037,Fair Isaac Corp,106.FICO
1038,Equinox Gold Corp,107.EQX
1039,Sprott Junior Uranium Miners ET,105.URNJ
1040,二倍做空金融ETF-ProShares,107.SKF
1041,复朗集团,106.LANV
1042,Citizens Financial Services Inc,105.CZFS
1043,The LGL Group Inc,107.LGL
1044,Pasithea Therapeutics Corp Wt,105.KTTAW
1045,TRX Gold Corp,107.TRX
1046,Denali Capital Acquisition Corp,105.DECA
1047,Graham Corp,106.GHM
1048,Simplify Commodities Strategy N,107.HARD
1049,Yoshitsu Co Ltd ADR,105.TKLF
1050,ProShares Ultra Technology,107.ROM
1051,Lument Finance Trust Inc,106.LFT
1052,JAKKS Pacific Inc,105.JAKK
1053,见知教育,105.JZ
1054,Arcturus Therapeutics Holdings ,105.ARCT
1055,SharkNinja Inc,106.SN
1056,阿卡西亚,105.ACTG
1057,CPI Card Group Inc,105.PMTS
1058,唐纳森,106.DCI
1059,Asure Software Inc,105.ASUR
1060,Direxion Daily MSFT Bull 2X Sha,105.MSFU
1061,ZIM Integrated Shipping Service,106.ZIM
1062,Babcock & Wilcox Enterprises In,106.BWNB
1063,课标科技,105.JDZG
1064,曼恩凯德生物医疗,105.MNKD
1065,Oak Woods Acquisition Corp Rt,105.OAKUR
1066,Jack in the Box Inc,105.JACK
1067,Galecto Inc,105.GLTO
1068,Movano Inc,105.MOVE
1069,GRI Bio Inc,105.GRI
1070,巴西食品,106.BRFS
1071,黑莓,106.BB
1072,PhenixFIN Corp,105.PFX
1073,Harmony Biosciences Holdings In,105.HRMY
1074,Planet Fitness Inc-A,106.PLNT
1075,Snap Inc-A,106.SNAP
1076,Varonis Systems Inc,105.VRNS
1077,贝哲房屋,106.BZH
1078,Mama’s Creations Inc,105.MAMA
1079,Stem Inc-A,106.STEM
1080,BAIYU Holdings Inc,105.BYU
1081,美国超导,105.AMSC
1082,Amplify Junior Silver Miners ET,107.SILJ
1083,CS Disco Inc,106.LAW
1084,HCI集团,106.HCI
1085,Electra Battery Materials Corp,105.ELBM
1086,Liberty Media Corp Liberty Live,105.LLYVA
1087,Creative Media & Community Trus,105.CMCT
1088,enCore Energy Corp,105.EU
1089,美国钢铁,106.X
1090,TScan Therapeutics Inc,105.TCRX
1091,Latham Group Inc,105.SWIM
1092,iShares Copper and Metals Minin,105.ICOP
1093,Tortoise Energy Infrastructure ,106.TYG
1094,FTAI Aviation Ltd-A,105.FTAI
1095,Ads-Tec Energy PLC Wt,105.ADSEW
1096,GraniteShares 2x Long MSFT Dail,105.MSFL
1097,Steakholder Foods Ltd ADR,105.STKH
1098,Lazydays Holdings Inc,105.GORV
1099,江森自控,106.JCI
1100,MicroSectors Gold Miners 3X Lev,107.GDXU
1101,USA Compression Partners LP,106.USAC
1102,Arch Resources Inc-A,106.ARCH
1103,Cadre Holdings Inc,106.CDRE
1104,Vista Energy SAB de CV ADR,106.VIST
1105,CRA国际,105.CRAI
1106,Veritone Inc,105.VERI
1107,Williams-Sonoma Inc,106.WSM
1108,SEMrush Holdings Inc-A,106.SEMR
1109,Corporacion America Airports SA,106.CAAP
1110,海滩酒店度假,105.PLYA
1111,视频游戏技术ETF-PureFunds,107.GAMR
1112,First Trust Nasdaq Semiconducto,105.FTXL
1113,LAVA Therapeutics NV,105.LVTX
1114,FS Credit Opportunities Corp,106.FSCO
1115,因特瓦克,105.IVAC
1116,Arlo Technologies Inc,106.ARLO
1117,Medalist Diversified REIT Inc,105.MDRR
1118,Chemomab Therapeutics Ltd ADR,105.CMMB
1119,Amplitude Inc-A,105.AMPL
1120,微芯科技,105.MCHP
1121,AlTi Global Inc-A,105.ALTI
1122,Frontline plc,106.FRO
1123,Cellebrite DI Ltd,105.CLBT
1124,Summit Therapeutics Inc,105.SMMT
1125,Pyrophyte Acquisition Corp Wt,106.PHYT_WS
1126,Intensity Therapeutics Inc,105.INTS
1127,Tuttle Capital Daily 2X Inverse,105.SKRE
1128,Invesco PHLX Semiconductor ETF,105.SOXQ
1129,Globant SA,106.GLOB
1130,Paysign Inc,105.PAYS
1131,联合租赁,106.URI
1132,Energy Fuels Inc,107.UUUU
1133,PAVmed Inc,105.PAVM
1134,First Foundation Inc,106.FFWM
1135,丹尼森矿业,107.DNN
1136,Graphjet Technology-A,105.GTI
1137,ZipRecruiter Inc-A,106.ZIP
1138,Consolidated Water Co Ltd-A,105.CWCO
1139,Amplify BlueStar Israel Technol,107.ITEQ
1140,WillScot Mobile Mini Holdings C,105.WSC
1141,Exela Technologies Inc Series B,105.XELAP
1142,Athena Technology Acquisition C,107.ATEK_WS
1143,Borr Drilling Ltd,106.BORR
1144,Sprott Copper Miners ETF,105.COPP
1145,CNIC ICE U.S. Carbon Neutral Po,107.AMPD
1146,MercadoLibre Inc,105.MELI
1147,Starbox Group Holdings Ltd,105.STBX
1148,Entrada Therapeutics Inc,105.TRDA
1149,Incannex Healthcare Inc,105.IXHL
1150,半导体ETF-iShares PHLX,105.SOXX
1151,Teucrium Agricultural Strategy ,107.TILL
1152,Veren Inc,106.VRN
1153,Bel Fuse Inc-B,105.BELFB
1154,智利矿业化工,106.SQM
1155,Captivision Inc,105.CAPT
1156,戴康工业,106.DY
1157,Gates Industrial Corp plc,106.GTES
1158,RenovoRx Inc,105.RNXT
1159,GraniteShares 2x Long AMD Daily,105.AMDL
1160,恩智浦半导体,105.NXPI
1161,Outlook Therapeutics Inc,105.OTLK
1162,VerifyMe Inc Wt,105.VRMEW
1163,Profire Energy Inc,105.PFIE
1164,NanoViricides Inc,107.NNVC
1165,Lottery.com Inc,105.LTRY
1166,ADMA Biologics Inc,105.ADMA
1167,Nuvve Holding Corp,105.NVVE
1168,Trevi Therapeutics Inc,105.TRVI
1169,Afya Ltd-A,105.AFYA
1170,Beacon Roofing Supply Inc,105.BECN
1171,Richmond Mutual Bancorporation ,105.RMBI
1172,Sylvamo Corp,106.SLVM
1173,曼哈顿大桥投资股份,105.LOAN
1174,MicroSectors Energy 3X Inverse ,107.WTID
1175,阿梅雷斯克,106.AMRC
1176,Ferroglobe PLC,105.GSM
1177,UL Solutions Inc-A,106.ULS
1178,Harbor Energy Transition Strate,107.RENW
1179,Teucrium Agricultural Fund ETV,107.TAGS
1180,穆格-A,106.MOG_A
1181,布鲁克菲尔德公共建设(优先股),106.BIP_B
1182,Freightos Ltd,105.CRGO
1183,大道制药,105.ATXI
1184,德州仪器,105.TXN
1185,AmeriServ Financial Inc,105.ASRV
1186,CCC Intelligent Solutions Holdi,105.CCCS
1187,D-Wave Quantum Inc Wt,106.QBTS_WS
1188,Nine Energy Service Inc,106.NINE
1189,禾赛,105.HSAI
1190,TKO Group Holdings Inc-A,106.TKO
1191,Columbia Seligman Semiconductor,107.SEMI
1192,PENN Entertainment Inc,105.PENN
1193,博彩ETF-VanEck Vectors,105.BJK
1194,Open Text Corp,105.OTEX
1195,Corsair Gaming Inc,105.CRSR
1196,赫克拉矿业,106.HL
1197,先进能源工业,105.AEIS
1198,Platinum Group Metals Ltd,107.PLG
1199,Montrose Environmental Group In,106.MEG
1200,Churchill Capital Corp VII Unit,105.CVIIU
1201,AppTech Payments Corp,105.APCX
1202,iShares Neuroscience and Health,107.IBRN
1203,Ventyx Biosciences Inc,105.VTYX
1204,天弘科技,106.CLS
1205,Aehr Test Systems,105.AEHR
1206,Relay Therapeutics Inc,105.RLAY
1207,DigitalOcean Holdings Inc,106.DOCN
1208,Neurogene Inc,105.NGNE
1209,Invesco Dynamic Semiconductors ,107.PSI
1210,Roblox Corp-A,106.RBLX
1211,哥伦布-麦金农,105.CMCO
1212,阿卡迪亚,105.ACAD
1213,PJT Partners Inc-A,106.PJT
1214,Banco BBVA Argentina SA ADR,106.BBAR
1215,Central Securities Corporation,107.CET
1216,CTS Corp,106.CTS
1217,GRIID Infrastructure Inc,105.GRDI
1218,GXO Logistics Inc,106.GXO
1219,Universal Health Services Inc-B,106.UHS
1220,Barinthus Biotherapeutics plc A,105.BRNS
1221,Tiptree Inc,105.TIPT
1222,Where Food Comes From Inc,105.WFCF
1223,Consensus Cloud Solutions Inc,105.CCSI
1224,BOSS直聘,105.BZ
1225,Take-Two Interactive Software I,105.TTWO
1226,B2Gold Corp,107.BTG
1227,Aqua Metals Inc,105.AQMS
1228,三倍做多纳斯达克100ETF,105.TQQQ
1229,二倍做多金矿指数ETF-Direxion,107.NUGT
1230,半导体ETF-VanEck Vectors,105.SMH
1231,Cal-Maine Foods Inc,105.CALM
1232,MediWound Ltd,105.MDWD
1233,Generation Income Properties In,105.GIPR
1234,Aeva Technologies Inc,106.AEVA
1235,Redwire Corp,106.RDW
1236,CDW Corp,105.CDW
1237,Orla Mining Ltd,107.ORLA
1238,麦斯莫医疗,105.MASI
1239,SandRidge Energy Inc,106.SD
1240,三倍做空房地产ETF-Direxion,107.DRV
1241,BioNTech SE ADR,105.BNTX
1242,Pampa Energia SA ADR,106.PAM
1243,Brainsway Ltd ADR,105.BWAY
1244,Semler Scientific Inc,105.SMLR
1245,Zapp Electric Vehicles Group Lt,105.ZAPPW
1246,nVent Electric plc,106.NVT
1247,铜矿ETF-Global X,107.COPX
1248,应用工业技术,106.AIT
1249,VanEck Israel ETF,107.ISRA
1250,2U Inc,105.TWOU
1251,科韬,105.CRTO
1252,Veritex Holdings Inc,105.VBTX
1253,Aldeyra Therapeutics Inc,105.ALDX
1254,Immix Biopharma Inc,105.IMMX
1255,Visionary Holdings Inc,105.GV
1256,Stratus Properties Inc,105.STRS
1257,Oxbridge Re Holdings Ltd,105.OXBR
1258,惠普,106.HPQ
1259,Catcha Investment Corp-A,107.CHAA
1260,Equitrans Midstream Corp,106.ETRN
1261,Empire Petroleum Corp,107.EP
1262,高通,105.QCOM
1263,Strive U.S. Semiconductor ETF,106.SHOC
1264,Pilgrim's Pride Corp,105.PPC
1265,淘屏,105.TAOP
1266,中进医疗,105.ZJYL
1267,卫讯公司,105.VSAT
1268,Palatin Technologies Inc,107.PTN
1269,Ontrak Inc,105.OTRK
1270,Terran Orbital Corp,106.LLAP
1271,金罗斯黄金,106.KGC
1272,BioCardia Inc Wt,105.BCDAW
1273,Sphere Entertainment Co-A,106.SPHR
1274,ProShares Big Data Refiners ETF,107.DAT
1275,Tango Therapeutics Inc,105.TNGX
1276,托罗配件,106.TTC
1277,Sprott Uranium Miners ETF,107.URNM
1278,SFL Corp Ltd,106.SFL
1279,二倍做空FTSE中国50指数ETF,107.FXP
1280,Bristow Group Inc,106.VTOL
1281,Kimbell Royalty Partners LP,106.KRP
1282,Pegasystems Inc,105.PEGA
1283,Global X Silver Miners ETF,107.SIL
1284,Fulcrum Therapeutics Inc,105.FULC
1285,Rockwell Medical Inc,105.RMTI
1286,Tutor Perini Corp,106.TPC
1287,Brooge Energy Ltd,105.BROG
1288,Cadeler AS ADR,106.CDLR
1289,Legacy Housing Corp,105.LEGH
1290,Hayward Holdings Inc,106.HAYW
1291,Simpson Manufacturing Co Inc,106.SSD
1292,iShares MSCI Global Silver Mine,107.SLVP
1293,The Central and Eastern Europe ,106.CEE
1294,瑞穗金融,106.MFG
1295,EPAM Systems Inc,106.EPAM
1296,Lavoro Ltd-A,105.LVRO
1297,FNCB Bancorp Inc,105.FNCB
1298,Kronos Bio Inc,105.KRON
1299,天演药业,105.ADAG
1300,Lisata Therapeutics Inc,105.LSTA
1301,诺华家具,105.NVFY
1302,Ault Alliance Inc,107.AULT
1303,大峡谷教育,105.LOPE
1304,Ocular Therapeutix Inc,105.OCUL
1305,泰尼特保健,106.THC
1306,MarketWise Inc-A,105.MKTW
1307,猫途鹰,105.TRIP
1308,Global X S&P 500 ESG Covered Ca,107.XYLE
1309,abrdn Asia-Pacific Income Fund ,107.FAX
1310,Hydrofarm Holdings Group Inc,105.HYFM
1311,The Lion Electric Co Wt,106.LEV_WS_A
1312,Unicycive Therapeutics Inc,105.UNCY
1313,Anghami Inc,105.ANGH
1314,Ivanhoe Electric Inc,107.IE
